World Rank,Institution,Country,National Rank,Quality of Education Rank,Alumni Employment Rank,Quality of Faculty Rank,Research Performance Rank,Score
522,National Yang-Ming University,Taiwan,5,0.0,0.0,0.0,493.0,73.9
523,University of South Australia,Australia,21,0.0,475.0,0.0,508.0,73.9
524,RMIT University,Australia,22,0.0,1017.0,0.0,496.0,73.9
525,University of Zagreb,Croatia,1,0.0,1390.0,0.0,495.0,73.9
526,Colorado School of Mines,USA,144,0.0,64.0,0.0,731.0,73.9
527,Bar-Ilan University,Israel,6,0.0,648.0,0.0,506.0,73.8
528,Ulsan National Institute of Science and Technology,South Korea,13,0.0,0.0,0.0,497.0,73.8
529,University of Bremen,Germany,39,0.0,0.0,0.0,498.0,73.8
530,Georgia State University,USA,145,0.0,819.0,0.0,502.0,73.8
531,USI - University of Italian Speaking Switzerland,Switzerland,9,0.0,0.0,0.0,499.0,73.8
532,University of Verona,Italy,26,0.0,0.0,0.0,504.0,73.8
533,University of Rennes 1,France,24,0.0,0.0,0.0,505.0,73.8
534,Carleton University,Canada,20,0.0,1290.0,0.0,507.0,73.8
535,Polytechnic University of Madrid,Spain,17,485.0,681.0,0.0,510.0,73.8
536,University of Konstanz,Germany,40,0.0,0.0,203.0,601.0,73.8
537,Hitotsubashi University,Japan,15,0.0,19.0,0.0,0.0,73.7
538,Saint Petersburg University,Russia,7,155.0,446.0,0.0,544.0,73.7
539,"Northeastern University, China",China,59,0.0,523.0,0.0,513.0,73.7
540,University of Arkansas - Fayetteville,USA,146,268.0,377.0,0.0,538.0,73.7
541,Rensselaer Polytechnic Institute,USA,147,425.0,153.0,0.0,603.0,73.7
542,Moscow Institute of Physics and Technology,Russia,8,160.0,585.0,270.0,566.0,73.7
543,Tata Institute of Fundamental Research,India,3,0.0,0.0,0.0,511.0,73.7
544,University of Nantes,France,25,0.0,0.0,0.0,512.0,73.7
545,Medical University of Innsbruck,Austria,5,0.0,0.0,0.0,514.0,73.7
546,Cairo University,Egypt,1,0.0,1105.0,0.0,516.0,73.7
547,Ewha Womans University,South Korea,14,0.0,0.0,0.0,515.0,73.6
548,National Technical University of Athens,Greece,3,474.0,768.0,0.0,523.0,73.6
549,Mahidol University,Thailand,2,0.0,1520.0,0.0,517.0,73.6
550,Chiba University,Japan,16,0.0,0.0,0.0,518.0,73.6
551,Fuzhou University,China,60,0.0,723.0,0.0,526.0,73.6
552,"China Medical University, Taiwan",Taiwan,6,0.0,0.0,0.0,520.0,73.6
553,Jinan University,China,61,0.0,596.0,0.0,533.0,73.6
554,Flinders University,Australia,23,461.0,0.0,0.0,521.0,73.6
555,National Central University,Taiwan,7,0.0,0.0,0.0,522.0,73.6
556,Clemson University,USA,148,0.0,934.0,0.0,525.0,73.6
557,Indian Institute of Technology Madras,India,4,0.0,181.0,0.0,600.0,73.6
558,Mayo Clinic College of Medicine and Science,USA,149,0.0,0.0,0.0,524.0,73.5
559,Brunel University London,United Kingdom,39,0.0,554.0,0.0,536.0,73.5
560,San Diego State University,USA,150,313.0,447.0,0.0,547.0,73.5
561,Medical University of Graz,Austria,6,0.0,0.0,0.0,528.0,73.5
562,Southwest University,China,62,481.0,1454.0,0.0,529.0,73.5
563,University of Graz,Austria,7,438.0,1202.0,161.0,690.0,73.5
564,University of Sherbrooke,Canada,21,0.0,969.0,0.0,530.0,73.5
565,University of Jyv??skyl??,Finland,7,0.0,1459.0,0.0,531.0,73.5
566,Institut Agro,France,26,0.0,0.0,0.0,532.0,73.5
567,Indian Institute of Technology Bombay,India,5,0.0,373.0,0.0,551.0,73.5
568,China University of Petroleum,China,63,0.0,608.0,0.0,539.0,73.4
569,University of Texas at Arlington,USA,151,0.0,849.0,0.0,537.0,73.4
570,Chang Gung University,Taiwan,8,0.0,0.0,0.0,534.0,73.4
571,University of Delhi,India,6,525.0,215.0,0.0,604.0,73.4
572,Palack?� University Olomouc,Czech Republic,2,0.0,0.0,0.0,535.0,73.4
573,Middle East Technical University,Turkey,1,0.0,318.0,0.0,571.0,73.4
574,Illinois Institute of Technology,USA,152,62.0,160.0,0.0,815.0,73.4
575,University of Iceland,Iceland,1,0.0,0.0,0.0,540.0,73.4
576,Nanjing Tech University,China,64,0.0,1512.0,0.0,541.0,73.4
577,University of Minho,Portugal,5,0.0,0.0,0.0,542.0,73.4
578,"Institute of Cancer Research, University of London",United Kingdom,40,246.0,0.0,0.0,552.0,73.4
579,University of Udine,Italy,27,0.0,0.0,0.0,543.0,73.3
580,University of Pretoria,South Africa,5,0.0,778.0,0.0,548.0,73.3
581,Auburn University,USA,153,0.0,247.0,0.0,593.0,73.3
582,Swansea University,United Kingdom,41,0.0,1242.0,0.0,545.0,73.3
583,University of Wisconsin�??Milwaukee,USA,154,278.0,474.0,0.0,572.0,73.3
584,University of Burgundy,France,27,164.0,0.0,0.0,576.0,73.3
585,University of Palermo,Italy,28,0.0,0.0,0.0,546.0,73.3
586,Concordia University,Canada,22,526.0,323.0,0.0,580.0,73.3
587,Masaryk University,Czech Republic,3,0.0,0.0,0.0,549.0,73.3
588,Bocconi University,Italy,29,0.0,48.0,257.0,1043.0,73.3
589,College of William & Mary,USA,155,0.0,93.0,0.0,724.0,73.2
590,University of Nebraska Medical Center,USA,156,0.0,0.0,0.0,550.0,73.2
591,E??tv??s Lor?�nd University,Hungary,1,259.0,0.0,0.0,563.0,73.2
592,Haverford College,USA,157,19.0,0.0,0.0,1926.0,73.2
593,Central China Normal University,China,65,0.0,1101.0,0.0,554.0,73.2
594,Czech Technical University in Prague,Czech Republic,4,391.0,0.0,0.0,558.0,73.2
595,Jiangsu University,China,66,0.0,1326.0,0.0,556.0,73.2
596,University Paris-Est Cr??teil,France,28,0.0,882.0,0.0,560.0,73.2
597,Brigham Young University,USA,158,316.0,842.0,0.0,569.0,73.2
598,CINVESTAV,Mexico,2,0.0,0.0,0.0,557.0,73.2
599,Polytechnic University of Turin,Italy,30,0.0,840.0,0.0,564.0,73.2
600,University of Salerno,Italy,31,0.0,0.0,0.0,561.0,73.1
601,Beijing Jiaotong University,China,67,0.0,1228.0,0.0,562.0,73.1
602,Jiangnan University,China,68,0.0,1376.0,0.0,565.0,73.1
603,University of Aveiro,Portugal,6,0.0,0.0,0.0,567.0,73.1
604,University of Cagliari,Italy,32,0.0,0.0,0.0,568.0,73.1
605,University of Eastern Piedmont,Italy,33,0.0,0.0,0.0,570.0,73.1
606,AGH University of Science and Technology,Poland,3,0.0,859.0,0.0,574.0,73.1
607,Federal University of S?�o Paulo,Brazil,7,0.0,0.0,0.0,575.0,73.1
608,Nanjing University of Information Science and Technology,China,69,0.0,0.0,0.0,578.0,73.1
609,Comenius University in Bratislava,Slovak Republic,1,0.0,0.0,0.0,579.0,73.1
610,University of St.Gallen,Switzerland,10,0.0,29.0,0.0,1549.0,73.1
611,Jeonbuk National University,South Korea,15,0.0,0.0,0.0,582.0,73.0
612,Sharif University of Technology,Iran,3,394.0,0.0,0.0,584.0,73.0
613,National Research Nuclear University MEPhI,Russia,9,439.0,0.0,0.0,585.0,73.0
614,"St George's, University of London",United Kingdom,42,0.0,0.0,0.0,583.0,73.0
615,Utah State University,USA,159,352.0,899.0,0.0,594.0,73.0
616,University of Bayreuth,Germany,41,0.0,1281.0,0.0,586.0,73.0
617,University of Qu??bec at Montreal,Canada,23,0.0,970.0,0.0,588.0,73.0
618,Second Military Medical University,China,70,0.0,0.0,0.0,587.0,73.0
619,"National University of Ireland, Galway",Ireland,4,203.0,1470.0,0.0,608.0,73.0
620,Rio de Janeiro State University,Brazil,8,0.0,1322.0,0.0,590.0,73.0
621,National University of La Plata,Argentina,2,0.0,1451.0,0.0,589.0,73.0
622,University of Brescia,Italy,34,0.0,0.0,0.0,591.0,73.0
623,Indian Institute of Technology Delhi,India,7,0.0,133.0,0.0,694.0,72.9
624,Toulouse INP,France,29,0.0,248.0,0.0,626.0,72.9
625,University of La Laguna,Spain,18,0.0,0.0,0.0,592.0,72.9
626,Institut national des sciences appliqu??es de Lyon,France,30,0.0,0.0,0.0,595.0,72.9
627,Konkuk University,South Korea,16,0.0,1041.0,0.0,597.0,72.9
628,Southern Medical University,China,71,0.0,0.0,0.0,596.0,72.9
629,Bielefeld University,Germany,42,432.0,1504.0,0.0,599.0,72.9
630,Cold Spring Harbor Laboratory,USA,160,0.0,0.0,102.0,861.0,72.9
631,University of Plymouth,United Kingdom,43,0.0,1508.0,0.0,598.0,72.9
632,Henryk Niewodnicza�?ski Institute of Nuclear Physics,Poland,4,0.0,0.0,0.0,602.0,72.9
633,North China Electric Power University,China,72,0.0,282.0,0.0,629.0,72.9
634,Ocean University of China,China,73,0.0,1366.0,0.0,605.0,72.8
635,Catholic University of Korea,South Korea,17,0.0,0.0,0.0,606.0,72.8
636,Courtauld Institute of Art,United Kingdom,44,12.0,0.0,0.0,0.0,72.8
637,Bo�?azi??i University,Turkey,2,0.0,633.0,0.0,613.0,72.8
638,China University of Mining and Technology,China,74,0.0,712.0,0.0,611.0,72.8
639,Memorial University of Newfoundland,Canada,24,0.0,734.0,0.0,614.0,72.8
640,National Polytechnic Institute,Mexico,3,0.0,0.0,0.0,609.0,72.8
641,University of New Hampshire,USA,161,0.0,541.0,0.0,620.0,72.8
642,Tilburg University,Netherlands,13,0.0,398.0,0.0,628.0,72.8
643,Tehran University of Medical Sciences,Iran,4,0.0,0.0,0.0,610.0,72.8
644,Southern University of Science and Technology,China,75,0.0,0.0,0.0,612.0,72.8
645,Renmin University of China,China,76,0.0,104.0,0.0,779.0,72.8
646,Nanjing Normal University,China,77,0.0,998.0,0.0,615.0,72.7
647,Hefei University of Technology,China,78,0.0,845.0,0.0,618.0,72.7
648,Donghua University,China,79,0.0,1177.0,0.0,617.0,72.7
649,University of Cantabria,Spain,19,0.0,1460.0,0.0,616.0,72.7
650,Hacettepe University,Turkey,3,0.0,0.0,0.0,619.0,72.7
651,Saarland University,Germany,43,0.0,468.0,0.0,635.0,72.7
652,Ankara University,Turkey,4,0.0,806.0,0.0,623.0,72.7
653,Binghamton University,USA,162,297.0,366.0,154.0,867.0,72.7
654,Chung-Ang University,South Korea,18,0.0,1132.0,0.0,622.0,72.7
655,Shinshu University,Japan,17,0.0,1435.0,0.0,621.0,72.7
656,University of Macau,China,80,0.0,539.0,0.0,639.0,72.7
657,Swinburne University of Technology,Australia,24,0.0,0.0,0.0,624.0,72.6
658,University of Campania Luigi Vanvitelli,Italy,35,0.0,0.0,0.0,625.0,72.6
659,Sciences Po,France,31,0.0,57.0,62.0,0.0,72.6
660,Loughborough University,United Kingdom,45,0.0,0.0,273.0,648.0,72.6
661,Loyola University Chicago,USA,163,348.0,1016.0,0.0,632.0,72.6
662,University of Texas Medical Branch,USA,164,0.0,0.0,0.0,627.0,72.6
663,Tokyo Metropolitan University,Japan,18,196.0,1081.0,0.0,661.0,72.6
664,University of Kent,United Kingdom,46,0.0,877.0,0.0,634.0,72.6
665,Roma Tre University,Italy,36,0.0,0.0,0.0,630.0,72.6
666,University of Calabria,Italy,37,0.0,0.0,0.0,631.0,72.6
667,Massey University,New Zealand,4,0.0,916.0,0.0,636.0,72.6
668,University of Haifa,Israel,7,0.0,1021.0,0.0,633.0,72.6
669,Kanazawa University,Japan,19,0.0,634.0,0.0,647.0,72.5
670,University of Wyoming,USA,165,0.0,726.0,0.0,646.0,72.5
671,University of M?�laga,Spain,20,0.0,0.0,0.0,637.0,72.5
672,Tokyo Medical and Dental University,Japan,20,0.0,0.0,0.0,638.0,72.5
673,Istanbul University,Turkey,5,456.0,1054.0,0.0,643.0,72.5
674,University of Johannesburg,South Africa,6,0.0,1035.0,0.0,642.0,72.5
675,University of Texas at San Antonio,USA,166,0.0,0.0,0.0,640.0,72.5
676,University of Ioannina,Greece,4,0.0,0.0,0.0,641.0,72.5
677,Zhejiang University of Technology,China,81,0.0,1178.0,0.0,644.0,72.5
678,University of Szeged,Hungary,2,0.0,0.0,197.0,768.0,72.5
679,University of Fribourg,Switzerland,11,0.0,299.0,0.0,686.0,72.5
680,"University of Maine, Orono",USA,167,493.0,1429.0,121.0,881.0,72.5
681,Tianjin Medical University,China,82,0.0,0.0,0.0,645.0,72.5
682,Istanbul Technical University,Turkey,6,0.0,860.0,0.0,650.0,72.4
683,Semmelweis University,Hungary,3,0.0,0.0,0.0,649.0,72.4
684,Nanchang University,China,83,0.0,1142.0,0.0,651.0,72.4
685,"University of Nevada, Reno",USA,168,0.0,1148.0,0.0,652.0,72.4
686,Warsaw University of Technology,Poland,5,351.0,1042.0,0.0,657.0,72.4
687,Vilnius University,Lithuania,1,0.0,0.0,0.0,653.0,72.4
688,National University of Defense Technology,China,84,0.0,1169.0,0.0,655.0,72.4
689,Chungnam National University,South Korea,19,0.0,1517.0,0.0,654.0,72.4
690,Yokohama City University,Japan,21,0.0,208.0,0.0,722.0,72.4
691,Southwest Jiaotong University,China,85,0.0,814.0,0.0,663.0,72.4
692,University of Salamanca,Spain,21,0.0,892.0,0.0,662.0,72.4
693,Hong Kong Baptist University,China,86,0.0,1443.0,0.0,658.0,72.4
694,Isfahan University of Technology,Iran,5,0.0,0.0,0.0,659.0,72.3
695,University of Debrecen,Hungary,4,0.0,0.0,0.0,660.0,72.3
696,National Chung Hsing University,Taiwan,9,0.0,244.0,0.0,708.0,72.3
697,Oswaldo Cruz Foundation,Brazil,9,0.0,0.0,0.0,664.0,72.3
698,Victoria University of Wellington,New Zealand,5,373.0,756.0,0.0,670.0,72.3
699,Heriot-Watt University,United Kingdom,47,0.0,560.0,0.0,676.0,72.3
700,University of Oklahoma Health Sciences Center,USA,169,0.0,0.0,0.0,665.0,72.3
701,Inha University,South Korea,20,0.0,705.0,0.0,669.0,72.3
702,University of Crete,Greece,5,0.0,0.0,0.0,666.0,72.3
703,Kumamoto University,Japan,22,0.0,672.0,0.0,674.0,72.3
704,Otto von Guericke University Magdeburg,Germany,44,0.0,0.0,0.0,667.0,72.3
705,King Fahd University of Petroleum and Minerals,Saudi Arabia,4,0.0,113.0,0.0,812.0,72.3
706,Northeast Normal University,China,87,0.0,1501.0,0.0,668.0,72.2
707,University of Greifswald,Germany,45,0.0,0.0,252.0,715.0,72.2
708,Indian Institute of Technology Kharagpur,India,8,0.0,528.0,0.0,684.0,72.2
709,Panjab University,India,9,506.0,690.0,0.0,677.0,72.2
710,"University of North Texas, Denton",USA,170,0.0,748.0,0.0,675.0,72.2
711,South China Normal University,China,88,0.0,1090.0,0.0,671.0,72.2
712,Taipei Medical University,Taiwan,10,0.0,0.0,0.0,672.0,72.2
713,Mississippi State University,USA,171,321.0,408.0,0.0,699.0,72.2
714,University of Arkansas for Medical Sciences,USA,172,0.0,0.0,0.0,673.0,72.2
715,University of Missouri-Kansas City,USA,173,468.0,566.0,0.0,689.0,72.2
716,"Birkbeck, University of London",United Kingdom,48,224.0,0.0,171.0,878.0,72.2
717,International School for Advanced Studies,Italy,38,0.0,0.0,0.0,678.0,72.2
718,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,Russia,10,0.0,0.0,0.0,679.0,72.2
719,Montana State University - Bozeman,USA,174,0.0,1320.0,0.0,680.0,72.1
720,University of Angers,France,32,0.0,0.0,0.0,681.0,72.1
721,Yangzhou University,China,89,0.0,1554.0,0.0,682.0,72.1
722,Niigata University,Japan,23,0.0,790.0,0.0,687.0,72.1
723,Qingdao University,China,90,0.0,0.0,0.0,683.0,72.1
724,Central Party School of the Communist Party of China,China,91,0.0,22.0,0.0,0.0,72.1
725,American University of Beirut,Lebanon,1,254.0,176.0,0.0,782.0,72.1
726,Kangwon National University,South Korea,21,0.0,1541.0,0.0,685.0,72.1
727,"University of Maryland, Baltimore County",USA,175,0.0,0.0,233.0,769.0,72.1
728,Federal University of Santa Catarina,Brazil,10,0.0,1426.0,0.0,688.0,72.1
729,University of Massachusetts Boston,USA,176,0.0,1192.0,190.0,822.0,72.1
730,Bangor University,United Kingdom,49,194.0,800.0,251.0,776.0,72.1
731,Beijing University of Technology,China,92,0.0,0.0,0.0,691.0,72.1
732,Antioch College,USA,177,17.0,0.0,0.0,0.0,72.0
733,Ajou University,South Korea,22,0.0,1070.0,0.0,692.0,72.0
734,Army Medical University,China,93,0.0,0.0,0.0,693.0,72.0
735,Tokyo University of Science,Japan,24,307.0,931.0,0.0,703.0,72.0
736,University of Vigo,Spain,22,0.0,0.0,0.0,695.0,72.0
737,Beijing University of Posts and Telecommunications,China,94,0.0,470.0,0.0,712.0,72.0
738,University of Alaska Fairbanks,USA,178,416.0,758.0,0.0,701.0,72.0
739,Augusta University,USA,179,0.0,0.0,0.0,696.0,72.0
740,University of Salento,Italy,39,0.0,0.0,0.0,697.0,72.0
741,Technical University of Braunschweig,Germany,46,463.0,1118.0,0.0,700.0,72.0
742,Quaid-i-Azam University,Pakistan,1,0.0,0.0,0.0,698.0,72.0
743,SUNY Downstate Medical Center,USA,180,0.0,0.0,149.0,930.0,72.0
744,Guangdong University of Technology,China,95,0.0,1544.0,0.0,702.0,72.0
745,Osaka City University,Japan,25,235.0,479.0,0.0,737.0,71.9
746,"Northwest University, Xi'an",China,96,0.0,1363.0,0.0,704.0,71.9
747,University of Castilla�??La Mancha,Spain,23,0.0,0.0,0.0,705.0,71.9
748,Kitasato University,Japan,26,0.0,0.0,125.0,964.0,71.9
749,University of Cyprus,Cyprus,1,0.0,0.0,0.0,706.0,71.9
750,"University of the Andes, Colombia",Colombia,1,0.0,415.0,0.0,733.0,71.9
751,University of Idaho,USA,181,0.0,0.0,0.0,709.0,71.9
752,Kent State University,USA,182,0.0,0.0,0.0,710.0,71.9
753,Amirkabir University of Technology,Iran,6,0.0,0.0,0.0,711.0,71.9
754,Nanjing University of Posts and Telecommunications,China,97,0.0,910.0,0.0,713.0,71.9
755,Yerevan Physics Institute,Armenia,1,0.0,0.0,0.0,714.0,71.9
756,University of Essex,United Kingdom,50,509.0,650.0,0.0,726.0,71.9
757,South China Agricultural University,China,98,0.0,1561.0,0.0,716.0,71.9
758,Sejong University,South Korea,23,0.0,0.0,0.0,717.0,71.8
759,Shaanxi Normal University,China,99,0.0,0.0,0.0,718.0,71.8
760,Air Force Medical University,China,100,0.0,0.0,0.0,719.0,71.8
761,University of Wuppertal,Germany,47,0.0,0.0,0.0,720.0,71.8
762,Institute for Nuclear Research of the Russian Academy of Sciences,Russia,11,0.0,0.0,0.0,721.0,71.8
763,"Graduate Faculty, General Research Institute For Nonferrous Metals",China,101,0.0,23.0,0.0,0.0,71.8
764,University of L?�beck,Germany,48,0.0,0.0,0.0,723.0,71.8
765,Yeungnam University,South Korea,24,0.0,418.0,0.0,750.0,71.8
766,University of Split,Croatia,2,0.0,0.0,0.0,725.0,71.8
767,Centrale Lille Institut,France,33,0.0,90.0,0.0,975.0,71.8
768,University of Girona,Spain,24,0.0,0.0,0.0,727.0,71.8
769,??rebro University,Sweden,12,0.0,887.0,0.0,732.0,71.8
770,Hohai University,China,102,0.0,1163.0,0.0,729.0,71.8
771,Shanxi University,China,103,0.0,1523.0,0.0,728.0,71.8
772,University of the Balearic Islands,Spain,25,0.0,0.0,0.0,730.0,71.7
773,University of Montana,USA,183,265.0,0.0,0.0,740.0,71.7
774,Ohio University,USA,184,390.0,372.0,0.0,772.0,71.7
775,University of Murcia,Spain,26,0.0,0.0,0.0,734.0,71.7
776,National Taiwan University of Science and Technology,Taiwan,11,0.0,795.0,0.0,739.0,71.7
777,Gwangju Institute of Science and Technology,South Korea,25,0.0,0.0,0.0,735.0,71.7
778,"University of Science, Malaysia",Malaysia,2,0.0,0.0,0.0,736.0,71.7
779,Federal University of Paran?�,Brazil,11,0.0,1335.0,0.0,738.0,71.7
780,Marche Polytechnic University,Italy,40,0.0,0.0,0.0,741.0,71.7
781,Belarusian State University,Belarus,1,0.0,0.0,0.0,742.0,71.7
782,Kaohsiung Medical University,Taiwan,12,0.0,0.0,0.0,743.0,71.7
783,"University of Natural Resources and Life Sciences, Vienna",Austria,8,0.0,0.0,0.0,744.0,71.7
784,Sorbonne Paris Nord University,France,34,0.0,0.0,0.0,745.0,71.7
785,Wenzhou Medical University,China,104,0.0,0.0,0.0,746.0,71.6
786,Northern Illinois University,USA,185,0.0,728.0,0.0,752.0,71.6
787,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,Russia,12,34.0,0.0,213.0,1891.0,71.6
788,"University of C??rdoba, Spain",Spain,27,0.0,0.0,0.0,747.0,71.6
789,National Sun Yat-sen University,Taiwan,13,0.0,1408.0,0.0,748.0,71.6
790,University of Patras,Greece,6,0.0,0.0,0.0,749.0,71.6
791,Norwegian University of Life Sciences,Norway,5,0.0,954.0,0.0,751.0,71.6
792,Tarbiat Modares University,Iran,7,0.0,0.0,0.0,753.0,71.6
793,Harbin Medical University,China,105,0.0,0.0,0.0,754.0,71.6
794,University of Hohenheim,Germany,49,0.0,0.0,0.0,755.0,71.6
795,Guangzhou Medical University,China,106,0.0,0.0,0.0,756.0,71.6
796,University of North Carolina at Charlotte,USA,186,0.0,664.0,0.0,770.0,71.6
797,Ain Shams University,Egypt,2,0.0,0.0,0.0,757.0,71.6
798,Carl von Ossietzky University of Oldenburg,Germany,50,0.0,0.0,0.0,758.0,71.6
799,Gyeongsang National University,South Korea,26,0.0,0.0,0.0,759.0,71.5
800,"China Medical University, PRC",China,107,0.0,0.0,0.0,760.0,71.5
801,University of Siegen,Germany,51,0.0,1482.0,0.0,761.0,71.5
802,Gustave Eiffel University,France,35,441.0,0.0,0.0,765.0,71.5
803,University of Jinan,China,108,0.0,1414.0,0.0,762.0,71.5
804,Beijing Forestry University,China,109,0.0,0.0,0.0,764.0,71.5
805,"Putra University, Malaysia",Malaysia,3,0.0,1486.0,0.0,766.0,71.5
806,University of L'Aquila,Italy,41,0.0,0.0,0.0,767.0,71.5
807,Kindai University,Japan,27,0.0,0.0,0.0,771.0,71.5
808,Nagasaki University,Japan,28,292.0,310.0,0.0,825.0,71.5
809,COMSATS University Islamabad,Pakistan,2,0.0,0.0,0.0,773.0,71.5
810,Polytechnic University of Bari,Italy,42,0.0,0.0,0.0,774.0,71.5
811,Brazilian Center for Research in Physics (CBPF),Brazil,12,0.0,0.0,0.0,775.0,71.5
812,University of Rhode Island,USA,187,0.0,542.0,0.0,791.0,71.5
813,"Open University, UK",United Kingdom,51,0.0,1574.0,0.0,777.0,71.4
814,Carlos III University of Madrid,Spain,28,0.0,0.0,0.0,778.0,71.4
815,University of Denver,USA,188,0.0,186.0,0.0,884.0,71.4
816,National University of Colombia,Colombia,2,0.0,831.0,0.0,780.0,71.4
817,University of Toledo,USA,189,0.0,0.0,0.0,781.0,71.4
818,Indian Institute of Technology Kanpur,India,10,0.0,409.0,0.0,808.0,71.4
819,Adam Mickiewicz University in Pozna�?,Poland,6,0.0,0.0,0.0,783.0,71.4
820,Shizuoka University,Japan,29,0.0,1108.0,95.0,1185.0,71.4
821,University of Basilicata,Italy,43,0.0,0.0,0.0,784.0,71.4
822,Miami University,USA,190,0.0,118.0,0.0,970.0,71.4
823,Jawaharlal Nehru University,India,11,486.0,0.0,83.0,1241.0,71.4
824,Old Dominion University,USA,191,0.0,0.0,0.0,785.0,71.4
825,University of Concepci??n,Chile,3,0.0,0.0,0.0,786.0,71.4
826,Harbin Engineering University,China,110,0.0,0.0,0.0,787.0,71.4
827,University of Alcal?�,Spain,29,0.0,0.0,0.0,788.0,71.3
828,Graz University of Technology,Austria,9,0.0,0.0,0.0,789.0,71.3
829,Ryerson University,Canada,25,0.0,0.0,0.0,790.0,71.3
830,Get?�lio Vargas Foundation,Brazil,13,0.0,34.0,0.0,0.0,71.3
831,University of Tours,France,36,157.0,0.0,0.0,839.0,71.3
832,"University of Nevada, Las Vegas",USA,192,0.0,984.0,0.0,794.0,71.3
833,Jawaharlal Nehru Centre for Advanced Scientific Research,India,12,0.0,0.0,117.0,1126.0,71.3
834,Federico Santa Mar??a Technical University,Chile,4,0.0,1115.0,0.0,793.0,71.3
835,Hasselt University,Belgium,8,0.0,700.0,0.0,800.0,71.3
836,University of Messina,Italy,44,0.0,0.0,0.0,795.0,71.3
837,University of Wroc�?aw,Poland,7,469.0,1367.0,260.0,865.0,71.3
838,Juntendo University,Japan,30,0.0,0.0,0.0,796.0,71.3
839,Ege University,Turkey,7,0.0,0.0,0.0,797.0,71.3
840,Aberystwyth University,United Kingdom,52,0.0,811.0,216.0,946.0,71.3
841,Federal University of Pernambuco,Brazil,14,0.0,1254.0,0.0,798.0,71.3
842,Benem??rita Autonomous University of Puebla,Mexico,4,0.0,0.0,0.0,799.0,71.2
843,Rutgers University�??Newark,USA,193,0.0,822.0,0.0,805.0,71.2
844,Gazi University,Turkey,8,0.0,1342.0,0.0,802.0,71.2
845,University of Alicante,Spain,30,0.0,0.0,0.0,801.0,71.2
846,Wesleyan University,USA,194,0.0,54.0,0.0,1519.0,71.2
847,"University of California, Merced",USA,195,0.0,0.0,0.0,803.0,71.2
848,Cranfield University,United Kingdom,53,0.0,197.0,0.0,911.0,71.2
849,University of Mons,Belgium,9,0.0,0.0,0.0,804.0,71.2
850,University of Louisiana at Lafayette,USA,196,0.0,0.0,0.0,806.0,71.2
851,Liverpool John Moores University,United Kingdom,54,0.0,0.0,0.0,807.0,71.2
852,Ivane Javakhishvili Tbilisi State University,Georgia,1,0.0,0.0,0.0,809.0,71.2
853,Jean Monnet University,France,37,0.0,0.0,0.0,810.0,71.2
854,Sofia University,Bulgaria,1,154.0,0.0,0.0,870.0,71.2
855,Graduate University for Advanced Studies,Japan,31,0.0,0.0,0.0,811.0,71.2
856,Banaras Hindu University,India,13,327.0,667.0,0.0,836.0,71.1
857,INSA Toulouse,France,38,0.0,529.0,0.0,840.0,71.1
858,"All India Institute of Medical Sciences, New Delhi",India,14,0.0,0.0,0.0,813.0,71.1
859,Uniformed Services University of the Health Sciences,USA,197,0.0,0.0,0.0,814.0,71.1
860,Indian Institute of Technology Roorkee,India,15,0.0,269.0,0.0,886.0,71.1
861,Northern Arizona University,USA,198,0.0,1121.0,0.0,817.0,71.1
862,Tomsk State University,Russia,13,0.0,0.0,0.0,816.0,71.1
863,Technical University of Kaiserslautern,Germany,52,0.0,1174.0,0.0,819.0,71.1
864,University of Luxembourg,Luxembourg,1,0.0,0.0,0.0,818.0,71.1
865,"City, University of London",United Kingdom,55,517.0,499.0,0.0,849.0,71.1
866,Anhui University,China,111,0.0,950.0,0.0,826.0,71.1
867,Murdoch University,Australia,25,0.0,838.0,0.0,827.0,71.1
868,Chongqing Medical University,China,112,0.0,0.0,0.0,820.0,71.1
869,University of Orl??ans,France,39,0.0,1489.0,0.0,821.0,71.1
870,Southern Illinois University Carbondale,USA,199,0.0,1442.0,0.0,823.0,71.1
871,Babe??-Bolyai University,Romania,1,0.0,0.0,0.0,824.0,71.0
872,University of Bras??lia,Brazil,15,0.0,1032.0,0.0,832.0,71.0
873,Henan University,China,113,0.0,0.0,0.0,828.0,71.0
874,University of Brighton,United Kingdom,56,0.0,0.0,0.0,829.0,71.0
875,Dongguk University,South Korea,27,0.0,545.0,0.0,852.0,71.0
876,National Centre for Nuclear Research,Poland,8,0.0,0.0,0.0,830.0,71.0
877,University of Insubria,Italy,45,0.0,0.0,0.0,831.0,71.0
878,University of Akron,USA,200,0.0,698.0,0.0,845.0,71.0
879,Hangzhou Normal University,China,114,0.0,1503.0,0.0,833.0,71.0
880,Iran University of Science and Technology,Iran,8,0.0,0.0,0.0,834.0,71.0
881,National Research University Higher School of Economics,Russia,14,0.0,0.0,0.0,835.0,71.0
882,Shandong University of Science and Technology,China,115,0.0,862.0,0.0,841.0,71.0
883,China Pharmaceutical University,China,116,0.0,1170.0,0.0,838.0,71.0
884,National University of Malaysia (UKM),Malaysia,4,0.0,0.0,0.0,837.0,71.0
